abcd,nda,instrument
smri_vol_cort.desikan_rostralmiddlefrontal.lh,cv_lh_rostralmiddlefront,freesvol01
smri_vol_cort.desikan_superiorfrontal.lh,cv_lh_superiorfront,freesvol01
smri_vol_cort.desikan_superiorparietal.lh,cv_lh_superiorpariet,freesvol01
smri_vol_cort.desikan_superiortemporal.lh,cv_lh_superiortemp,freesvol01
smri_vol_cort.desikan_supramarginal.lh,cv_lh_supramarginal,freesvol01
smri_vol_cort.desikan_frontalpole.lh,cv_lh_frontpole,freesvol01
smri_vol_cort.desikan_temporalpole.lh,cv_lh_temppole,freesvol01
smri_vol_cort.desikan_transversetemporal.lh,cv_lh_transversetemp,freesvol01
smri_vol_cort.desikan_bankssts.rh,cv_rh_bankssts,freesvol01
smri_vol_cort.desikan_caudalanteriorcingulate.rh,cv_rh_caudalanteriorcing,freesvol01
smri_vol_cort.desikan_caudalmiddlefrontal.rh,cv_rh_caudalmiddlefront,freesvol01
smri_vol_cort.desikan_cuneus.rh,cv_rh_cuneus,freesvol01
smri_vol_cort.desikan_entorhinal.rh,cv_rh_entorhinal,freesvol01
smri_vol_cort.desikan_fusiform.rh,cv_rh_fusiform,freesvol01
smri_vol_cort.desikan_inferiorparietal.rh,cv_rh_inferiorpariet,freesvol01
smri_vol_cort.desikan_inferiortemporal.rh,cv_rh_inferiortemp,freesvol01
smri_vol_cort.desikan_isthmuscingulate.rh,cv_rh_isthmuscing,freesvol01
smri_vol_cort.desikan_lateraloccipital.rh,cv_rh_ltr_occipital,freesvol01
smri_vol_cort.desikan_lateralorbitofrontal.rh,cv_rh_ltr_orbitofront,freesvol01
smri_vol_cort.desikan_lingual.rh,cv_rh_lingual,freesvol01
smri_vol_cort.desikan_medialorbitofrontal.rh,cv_rh_medialorbitofront,freesvol01
smri_vol_cort.desikan_middletemporal.rh,cv_rh_middletemp,freesvol01
smri_vol_cort.desikan_parahippocampal.rh,cv_rh_parahippocampal,freesvol01
smri_vol_cort.desikan_paracentral.rh,cv_rh_paracentral,freesvol01
smri_vol_cort.desikan_parsopercularis.rh,cv_rh_parsopercularis,freesvol01
smri_vol_cort.desikan_parsorbitalis.rh,cv_rh_parsorbitalis,freesvol01
smri_vol_cort.desikan_parstriangularis.rh,cv_rh_parstriangularis,freesvol01
smri_vol_cort.desikan_pericalcarine.rh,cv_rh_pericalcarine,freesvol01
smri_vol_cort.desikan_postcentral.rh,cv_rh_postcentral,freesvol01
